||||h || 
| | 1|MindBroker | 0|reviewe |VerTrag und CommitMent
| | 3|PieschenBank| 0|code |Auktionen für WechselKurs
| | 4|AgWiki | 0|code |MindCss
| | 4|MindFloor | 0|code |MindCss
| | 4|MindHome | 0|code |MindCss
| | 4|GeoMindBroker| 0|code |MindCss
| |20|MindId | 0|code |picUpload
| | 4|UnserGrid | 0|code |RSS Feed
| | 1|DoIt | 0|frage |Rainer zu Problem zu ContextSort (rede mit Daniel darüber)
| | 1|DoIt | 0|integriere|MindLine
| | 4|DoIt | 0|migriere |Jedes Item dieser Tabelle als DoIt-Item
| | 4|DoIt | 0|integriere|Seitenwechsel
| | 4|DoIt | 0|erstelle |die Seite "Konfiguration"
| | 4|DoIt | 0|integriere|export Funktion für DoIt zu iCal (ics)
| | 4|DoIt | 0|integriere|Projects
| | 4|DoIt | 0|integriere|bessere DetailAnsicht von den ToDos (schon besprochen)
| | 2|DoIt | 0|integriere|DoJo DatePicker
| | 2|DoIt | 0|erstelle |Haken für dropDownMenüs
| | ?|SportPortal | 0|code |Suche von Usern, Clubs, Teams
| | ?|SportPortal | 0|code |Anzeige von User, die zuletzt auf meinem Profil waren
| | ?|SportPortal | 0|code |Profile von Clubs, Teams
| | ?|SportPortal | 0|code |mehrere Admins von Clubs und Teams
| | ?|SportPortal | 0|code |Fotoalben für User, Teams und Clubs
