* InterWiki: [WikiPedia:Due_diligence]

||ComPare      ||MindBroker      ||ProtoWerb       ||LockSchuppenAg
|Since         |2007             |20080805         |20090324
|MindOne       |RainerWasserfuhr |JoergKeller      |RalfLippold
|WikiAngel     |RainerWasserfuhr |RainerWasserfuhr |RainerWasserfuhr
|MitWirkende   |1-2              |4-5              |3-4
|EigenKapital  |1 Mio KayGroschen|1000 EuRo        |1 Mio KayGroschen
|BusinessModel |SoftWare         |GeHeim           |LockSchuppen
|KapitalBedarf |0                |1 Mio EuRo       |2-3 Mio EuRo
|ShareHolder   |9                |5                |7
|AhGe          |x                |x                |x
|VerTrag       |x                |bald?            |x
|BusinessPlan  |WikiBasiert      |MsWord           |WikiBasiert
|InitialPublicOffering| |1 KayGroschen|1 KayGroschen
|TwittEr       |[TwittEr:mindbroker]|-             |[TwittEr:LockSchuppen]
|Public SkypeChat|MindChat       |-              |LockChat
|FaceBookGroup |[FaceBookGroup:4065199285]|[FaceBookGroup:56955301655]|[FaceBookGroup:73285988115]
|FlickEr       |-                |[FlickEr:ralflippold]
|TimeSheet     |x                |x                |-
|WirkSatz      |x                |x                |-
|StartUpWiki   |MindWiki         |x, GeHeim        |MindWiki
|SprachWelt    |LangDe           |LangDe           |LangEn
