||Proposer        ||Proposal (short)||(extension)||Supporters||Number of Supporters
|RalfLippold      |Panometer 2056   | -| | |   |
|RalfLippold      |Panometer Dresden 2056   | How we will work, live and love in 2056|    | xxx   |
|RalfLippold      |Futometer 2056   |making the future visible in action|   | xxx   |
|RalfLippold      |Futurometer 2056 |let become the future visible in real action|    | xxx   |
|RalfLippold      |Visiometer 2056  |let the vision of the future become true today|    | xxx   |
|ChristineSchlinck|anno 2056        |the FutureHistory|  | xxx   |
|ChristineSchlinck|since 2056       |come and see how the future could be|    | xxx   |
|ChristineSchlinck|science fiction 2056| zukunft erleben |RalfLippold   | xxx   |
|RainerWasserfuhr |since 2056       |Raum der unbegrenzen Möglichkeiten|RalfLippold    | xxx   |
|RainerWasserfuhr |since 2056       |come in and find future|    | xxx   |
|RainerWasserfuhr |since 2056       |come in and future out |    | xxx   |
|RainerWasserfuhr |since 2056       |come in and find future|    | xxx   |
