|| No.||Proposal (short)||(extension)||Proposer||Supporters||Number of Supporters
|| Panometer 2056   | -| RalfLippold| |   |
|| Panometer Dresden 2056   | How we will work, live and love in 2056| RalfLippold   | xxx| xxx   |
|| Futometer 2056   | making the future visible in action| RalfLippold   | xxx| xxx   |
|| Futurometer 2056   | let become the future visible in real action| RalfLippold   | xxx| xxx   |
|| Visiometer 2056   | let the vision of the future become true today| RalfLippold   | xxx| xxx   |
|| xxx   | xxx| xxx   | xxx| xxx   |
|| xxx   | xxx| xxx   | xxx| xxx   |
|| xxx   | xxx| xxx   | xxx| xxx   |
|| xxx   | xxx| xxx   | xxx| xxx   |
|| xxx   | xxx| xxx   | xxx| xxx   |
|| xxx   | xxx| xxx   | xxx| xxx   |

