Björn Achenbach
Mathias Adler
Thomas Ahbe
Michael Albrecht
Reinhold Albert

Stefan Arend
Horst Bachmann
Andreas Bartl
Gerd Bauer
Helmut G. Bauer
Marc Baumann
Markus Beckedahl
Staatsminister Johannes Beermann
Katharina Behrends

Volker Blume
Christian Bollert
Florian Born
Daniel Bouhs
Wolfgang Böhmer
Martin Buhl-Wagner
Anne-Marie Brade
Karlheinz Brandenburg
Ingo Brüggenjürgen

Jürgen Christ
Robert Clemen
Andreas Czaplicki
Christian Czirnich
Christoph Degenhart
Martin Deitenbeck
Christoph Dieckmann
Werner Dieste
Marcus Dimpfel

Jürgen Doetz
Wolfgang Donsbach
Prälat Stephan Dorgerloh
Stephan Dreyer
Carl Eugen Eberle
Heinz Eggert
Hermann Eicher
Ernst Elitz
Matthias Esche

Rainer Esser
Steffen Eßbach
René Falkner
Jochen Fasco
Harald Flemming
Josef Otto Freudenreich
Martin Fröhlich
Peter-Matthias Gaede
Matthias Gehler

Harald Geywitz
Steffen Grimberg
Rainer Götze
Ulrike Greim
Nils Jonas Greiner
Claus Grewenig
Uwe Grüning
Johannes Haak
Arnd Haller

Thiemo Heeg
Martin Heine
Gebhard Henke
Stefan Hermes
Volker Herres
Ruth Hieronymi
Bernd Hilder
Joachim Huber
Felix Hofmann

Cornelia Holsten
Bernd Holznagelv
Hans-Werner Honert
Uwe Hornauer
Maybrit Illner
Ivo Indzhov
Martin Jahrfeld
Hans-J&uuml;rgen Jakobs

Changjun Jeon
Burkhard Jung
Hans Kaiser
Uwe Kammann
Michael Kayser
Christoph  Keese

Dagmar Gr&auml;fin Kerssenbrock
em. Hans J. Kleinsteuber
Wolfgang Kleinw&auml;chter
Manfred Kloiber
Peter Kloeppel

Eleni Klotsikas
Stefan Kluge
Wilfried Kochner
Wolfgang Konrad
John C. Kornblum
Jan Kottmann

Michael K&ouml;lmel
Kirsten Kramer
Michael Krapp
Frank Krause
Gunther Kreuzberger
Peter Limbourg

Erwin Linnenbach
Christine Lieberknecht
Klaus Liepelt
Marc Liesching
Boris Lochthofen
Sergej Lochthofen

Uwe Ludwig
Minister Matthias Machnig
Lutz Marmor
Jens-Peter Marquardt
Kurt-Ulrich Mayer
Ren&eacute; Meyer

Annette Milz
Christoph Montague
Johann Michael M&ouml;ller
Albrecht  Mugler
Burkhardt M&uuml;ller-S&ouml;nksen

Stephan Ory
Iain Overton
Carl-Ludwig Paeschke
Christoph E. Palmer
Dirk Panter
Jan Peter

Klaus-Peter Potthast
Gerhard P&ouml;tzsch
Hubertus Primus
Bodo Ramelow
Michael Rediske
Nick Reimer,<br>

Karl Friedrich Reimers
Udo Reiter
Andreas Richter
Michael Ridder
Annette Riedel
Staatsminister Rainer Robra

Carsten Rose,<br>
Torsten Rossmann
Michael Rotert
Tabea R&ouml;&szlig;ner
Georg Ruhrmann
Anke Sch&auml;ferkordt

Kai Sch&auml;chtele
Gabriele Schade
Bettina Schausten
Markus Schächter
Michael Schiewack
Dietmar Schickel

Thomas Schiller
Stefan Schirmer
Mathias Schindler
Michael Schmid-Ospach
Manfred Schmidt
Verena Schneider

Norbert Schneider
Reiner Schomburg
Klaus Schrotthofer
Markus Schubert
Wolfgang Schulz
Christian Schurig

Joachim Sch&uuml;tz
James W. Seward
Ralf Siepmann
Ulrike Simon
Heinz-Dieter Sommer
Franz Sommerfeld

Verica Spasovsca
Hendrik Speck
Manfred Stegger
Albrecht Steinh&auml;user
Detlef Stiemer	
Willi Steul

Hans-J&ouml;rg Stiehler
Andreas Stopp
Christian St&ouml;cker
Hans-Joachim Strauch
G&uuml;nter Struve

Carsten Szameitat
Dirk Th&auml;richen
Alexander Thies
Uta Thofern
Helmut Thoma
Roland Tichy

Claudia Tieschky
Stanislaw Tillich
Andreas Ulrich
Tino Utassy
Patricia Vance
Stephanie Vendt

Reinhold Viehoff
Andreas Vierling
Wolfgang Vietze
J&uuml;rgen Vogel-Jahn
Christoph N. von Dellingshausen
Niels N. von Haken

Konstantin von Notz
Friederike Wagner
J&ouml;rg Wagner
Hartmut Warkus
Peter Weber
Rolf Westermann

Thomas Weymar
Karola Wille
Grit Wi&szlig;kirchen
Norbert Clemens  Wortmann
Monika Zimmermann
Staatssekret&auml;r Peter Zimmermann

Brigitte Zypries
Heiko Zysk
