Der MindShop ist die zentrale Verkaufsplattform für UnterNehmen und BuergerInnen in NooPolis.

Zur Zeit im Angebot:
||ProDukt           ||AnBieter        ||KayGroschen||Service       ||noch verfügbar 
|LockSchuppen-BeSuch|LockSchuppenAg   |  PreisTafel|               |
|BabySpaziergang    |ChristineSchlinck|         500|0,5            |
|FotoAuftrag        |ChristineSchlinck|    ab 5.000|2-4h           |
|BauAuftrag         |ChristineSchlinck|       5.000|1h             |
|DateFee            |ChristineSchlinck|       5.000|3h             |   
|SingularBachelor   |RainerWasserfuhr |       2.000|               |3
|OpenConsult        |RainerWasserfuhr |    ab 1.000|               |
|TheMatrix auf HdDvd|RainerWasserfuhr |         VHB|               |1
|StartUpSim         |RainerWasserfuhr |      99.999|               |2
|NacktSichtBrille   |RainerWasserfuhr |      10.000|               |3
|MindBanner         |RainerWasserfuhr |       2.000|1 Monat        |1
|EheRinge           |RainerWasserfuhr |       1.000|               |
|LiebesRinge        |RainerWasserfuhr |         100|               |
|KnisterRinge       |RainerWasserfuhr |          10|               |
|MethusalemKompott  |RainerWasserfuhr |       1.000|               |1
|RockTheTram        |RainerWasserfuhr |         189|2 Tickets      |17

Getätigte Käufe im MindShop werden als UmSatz protokolliert.
